x,custom,boost,derivation
-8.2100000000,0.1196308224,0.1196308224,0.2588932017
-8.2090000000,0.1198896712,0.1198896712,0.2588049705
-8.2080000000,0.1201484316,0.1201484316,0.2587164736
-8.2070000000,0.1204071033,0.1204071033,0.2586277110
-8.2060000000,0.1206656862,0.1206656862,0.2585386828
-8.2050000000,0.1209241799,0.1209241799,0.2584493891
-8.2040000000,0.1211825842,0.1211825842,0.2583598298
-8.2030000000,0.1214408988,0.1214408988,0.2582700051
-8.2020000000,0.1216991234,0.1216991234,0.2581799150
-8.2010000000,0.1219572579,0.1219572579,0.2580895595
-8.2000000000,0.1222153018,0.1222153018,0.2579989388
-8.1990000000,0.1224732550,0.1224732550,0.2579080529
-8.1980000000,0.1227311171,0.1227311171,0.2578169018
-8.1970000000,0.1229888880,0.1229888880,0.2577254855
-8.1960000000,0.1232465673,0.1232465673,0.2576338043
-8.1950000000,0.1235041548,0.1235041548,0.2575418580
-8.1940000000,0.1237616503,0.1237616503,0.2574496468
-8.1930000000,0.1240190534,0.1240190534,0.2573571707
-8.1920000000,0.1242763639,0.1242763639,0.2572644298
-8.1910000000,0.1245335815,0.1245335815,0.2571714241
-8.1900000000,0.1247907060,0.1247907060,0.2570781537
-8.1890000000,0.1250477371,0.1250477371,0.2569846187
-8.1880000000,0.1253046745,0.1253046745,0.2568908191
-8.1870000000,0.1255615180,0.1255615180,0.2567967550
-8.1860000000,0.1258182672,0.1258182672,0.2567024264
-8.1850000000,0.1260749221,0.1260749221,0.2566078333
-8.1840000000,0.1263314822,0.1263314822,0.2565129760
-8.1830000000,0.1265879473,0.1265879473,0.2564178544
-8.1820000000,0.1268443172,0.1268443172,0.2563224685
-8.1810000000,0.1271005915,0.1271005915,0.2562268185
-8.1800000000,0.1273567701,0.1273567701,0.2561309043
-8.1790000000,0.1276128526,0.1276128526,0.2560347262
-8.1780000000,0.1278688388,0.1278688388,0.2559382840
-8.1770000000,0.1281247284,0.1281247284,0.2558415780
-8.1760000000,0.1283805212,0.1283805212,0.2557446081
-8.1750000000,0.1286362169,0.1286362169,0.2556473744
-8.1740000000,0.1288918153,0.1288918153,0.2555498769
-8.1730000000,0.1291473160,0.1291473160,0.2554521158
-8.1720000000,0.1294027188,0.1294027188,0.2553540911
-8.1710000000,0.1296580235,0.1296580235,0.2552558029
-8.1700000000,0.1299132297,0.1299132297,0.2551572512
-8.1690000000,0.1301683373,0.1301683373,0.2550584361
-8.1680000000,0.1304233459,0.1304233459,0.2549593576
-8.1670000000,0.1306782553,0.1306782553,0.2548600159
